Kanji	Keyword	KeywordWK	ElementsTree	Elements
及	reach out	Reach		reach out, fist, from, drop
吸	suck	Suck		suck, mouth, reach out
扱	handle	Handle		handle, finger, fingers, reach out
丈	length	Height		length, stick, tucked under the arm
史	history	History		history, mouth, tucked under the arm
吏	officer			officer, history, length, stick, one, mouth, tucked under the arm
更	grow late	Again		grow late, Amaterasu, one, ceiling, sun, day, rice field, tucked under the arm
硬	stiff	Stiff		stiff, stone, rock, grow late, Amaterasu, one, ceiling, sun, day, rice field, tucked under the arm
梗	spiny			spiny, tree, wood, grow late, Amaterasu, one, ceiling, sun, day, rice field, tucked under the arm
又	or again	Again		or again, crotch
双	pair	Pair		pair, crotch, crotch2
桑	mulberry	Mulberry		mulberry, crotch, tree, wood, crotch3
隻	vessels	Ship Counter		vessels, turkey, crotch
護	safeguard	Defend		safeguard, say, words, keitai, mouth, radio caroline, flowers, vessels, turkey, crotch
獲	seize	Seize		seize, pack of wild dogs, radio caroline, flowers, vessels, turkey, crotch
奴	guy	Dude		guy, woman, crotch
怒	angry	Angry		angry, guy, woman, crotch, heart
友	friend	Friend		friend, by one's side, by one’s side, crotch
抜	slip out	Extract		slip out, finger, fingers, friend, woman, crotch
投	throw	Throw		throw, finger, fingers, cruise missile, missile, wind, crotch
没	drown	Die		drown, water, water droplets, water pistol, cruise missile, missile, wind, crotch
股	thigh	Crotch		thigh, moon, month, flesh, part of the body, cruise missile, missile, wind, crotch
設	establishment	Establish		establishment, say, words, keitai, mouth, cruise missile, missile, wind, crotch
撃	beat	Attack		beat, tank, car, cruise missile, missile, wind, crotch, hand
殻	husk	Husk		husk, samurai, superfluous, crown, wind, cruise missile, missile, wind, crotch, wind2
支	branch	Support		branch, ten, needle, crotch
技	skill	Skill		skill, finger, fingers, branch, ten, needle, crotch
枝	bough	Branch		bough, tree, wood, branch, ten, needle, crotch
肢	limb			limb, moon, month, flesh, part of the body, branch, ten, needle, crotch
茎	stalk	Stem		stalk, flowers, spool, clod, toilet paper, crotch, soil, dirt, ground
怪	suspicious	Suspicious		suspicious, Freud, state of mind, spool, clod, toilet paper, crotch, soil, dirt, ground
軽	lightly	Lightweight		lightly, car, spool, clod, toilet paper, crotch, soil, dirt, ground
叔	uncle	Uncle		uncle, above, small, little, crotch
督	coach	Coach		coach, uncle, above, small, little, crotch, eye
寂	loneliness	Lonely		loneliness, house, uncle, above, small, little, crotch
淑	graceful	Graceful		graceful, water, water droplets, water pistol, uncle, above, small, little, crotch
反	anti-	Anti		anti-, anti, demonstation, cliff, crotch
坂	slope	Slope		slope, soil, dirt, ground, anti-, demonstration, cliff, crotch
板	plank	Board		plank, tree, wood, anti-, demonstration, cliff, crotch
返	return	Return		return, anti-, demonstration, cliff, crotch, road
販	marketing	Sell		marketing, shellfish, shell, clam, oyster, eye, animal legs, eight, anti-, demonstration, cliff, crotch
爪	claw	Claw		claw, vulture
妥	gentle	Gentle		gentle, claw, vulture, woman
乳	milk	Milk		milk, fledgling, claw, vulture, child, fishhook
浮	floating	Float		floating, water, water droplets, water pistol, fledgling, claw, vulture, child
淫	lewd			lewd, water, water droplets, water pistol, claw, vulture, porter, drop, samurai
将	leader	Commander		leader, turtle, claw, vulture, glue
奨	exhort	Encourage		exhort, leader, turtle, claw, vulture, glue, large, St. Bernard
采	grab			grab, claw, vulture, tree, wood
採	pick	Gather		pick, finger, fingers, grab, claw, vulture, tree, wood
菜	vegetable	Vegetable		vegetable, flowers, grab, claw, vulture, tree, wood
受	accept	Accept		accept, birdhouse, birdcage, claw, vulture, crown, crotch
授	impart	Instruct		impart, finger, fingers, accept, birdhouse, birdcage, claw, vulture, crown, crotch
愛	love	Love		love, birdhouse, birdcage, claw, vulture, crown, love birds, heart, walking legs
曖	unclear			equivocal, sun, day, love, birdhouse, birdcage, claw, vulture, crown, love birds, heart, walking legs
払	pay	Pay		pay, finger, fingers, elbow
広	wide	Wide		wide, cave, elbow
勾	hooked			flexed, bound up, elbow
拡	broaden	Extend		broaden, finger, fingers, wide, cave, elbow
鉱	mineral	Mineral		mineral, metal, gold, wide, cave, elbow
弁	valve	Dialect		valve, elbow, two hands
雄	male	Male		masculine, Yamanote, by one's side, by one’s side, elbow, turkey
台	pedestal	Machine		pedestal, elbow, mouth
怠	neglect	Lazy		neglect, pedestal, elbow, mouth, heart
治	reign	Cure		reign, water, water droplets, water pistol, pedestal, elbow, mouth
冶	metallurgy			metallurgy, ice, pedestal, elbow, mouth
始	commence	Begin		commence, woman, pedestal, elbow, mouth
胎	womb	Womb		womb, moon, month, flesh, part of the body, pedestal, elbow, mouth
窓	window	Window		window, hole, house, human legs, elbow, heart
去	gone	Past		gone, soil, dirt, ground, elbow
法	method	Method		method, water, water droplets, water pistol, gone, soil, dirt, ground, elbow
会	meeting	Meet		meeting, one, wall, umbrella, rising cloud, two, elbow, wall
至	climax	Attain		climax, wall, one, ceiling, elbow, soil, dirt, ground
室	room	Room		room, house, climax, wall, one, ceiling, elbow, soil, dirt, ground
到	arrival	Arrival		arrival, climax, wall, one, ceiling, elbow, soil, dirt, ground, sword, sabre, saber
致	doth	Do		doth, climax, wall, one, ceiling, elbow, soil, dirt, ground, taskmaster
互	mutually	Mutual		mutually, one, ceiling, one, floor
棄	abandon	Abandon		abandon, infant, toddler, top hat, elbow, buckle, tree, wood
育	bring up	Nurture		bring up, infant, toddler, top hat, elbow, moon, month, flesh, part of the body
撤	remove	Withdrawal		remove, finger, fingers, borstal, bring up, infant, toddler, top hat, elbow, moon, month, flesh, part of the body, taskmaster
充	allot	Allocate		allot, infant, toddler, top hat, elbow, human legs
銃	gun	Gun		gun, metal, gold, allot, infant, toddler, top hat, elbow, human legs
硫	sulfur	Sulfur		sulphur, stone, rock, lifebelt, infant, toddler, top hat, elbow, stream, flood
流	current	Stream		current, water, water droplets, water pistol, lifebelt, infant, toddler, top hat, elbow, stream, flood
允	license			license, elbow, human legs
唆	tempt	Instigate		tempt, mouth, streetwalker, Ministry of silly walks, John Cleese, license, elbow, human legs, walking legs
出	exit	Exit		exit, leave
山	mountain	Mountain		mountain
拙	bungling	Clumsy		bungling, finger, fingers, exit
岩	boulder	Boulder		boulder, mountain, stone, rock
炭	charcoal	Charcoal		charcoal, mountain, ashes, cliff, fire
岐	branch off	Branch Off		branch off, mountain, branch, ten, needle, crotch
峠	mountain pass	Peak		mountain peak, mountain, above, below
崩	crumble	Crumble		crumble, mountain, companion, moon, month, flesh, part of the body, moon2, month2, flesh2, part of the body2
密	secrecy	Secrecy		secrecy, house, invariably, heart, mountain
蜜	honey	Honey		honey, house, invariably, heart, insect
嵐	storm	Storm		storm, mountain, wind, gnats, drop, insect
崎	promontory	Cape		promontory, mountain, strange, large, St. Bernard, can, street, nail, spike, mouth
崖	bluffs	Cliff		bluffs, mountain, cliff, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
入	enter	Enter		enter
込	crowded	Crowded		crowded, enter, road
分	part	Part		part, eight, sword, dagger
貧	poverty	Poor		poverty, part, eight, sword, dagger, shellfish, shell, clam, oyster, eye, animal legs, eight
頒	partition			partition, part, eight, sword, dagger, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
公	public	Public		public, eight, elbow
松	pine tree	Pine		pine tree, tree, wood, public, eight, elbows
翁	venerable old man			venerable old man, public, eight, elbows, feathers, wings
訟	sue	Lawsuit		sue, say, words, keitai, mouth, public, eight, elbows
谷	valley	Valley		valley, eight, umbrella, mouth
浴	bathe	Bathe		bathe, water, water droplets, water pistol, valley, eight, umbrella, mouth
容	contain	Form		contain, house, valley, eight, umbrella, mouth
溶	melt	Melt		melt, water, water droplets, water pistol, contents, contain, house, valley, animal legs, eight, umbrella, mouth
欲	longing	Want		longing, valley, eight, umbrella, mouth, lack, yawn
裕	abundant	Abundant		abundant, cloak, valley, eight, umbrella, mouth
鉛	lead (metal)	Lead		lead, metal, gold, gully, eight, mouth
沿	run alongside	Run Alongside		run alongside, water, water droplets, water pistol, gully, eight, mouth
賞	prize	Prize		prize, outhouse, schoolhouse, small, little, crown, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
党	party	Party		party, outhouse, schoolhouse, small, little, crown, mouth, human legs
堂	hall	Hall		public chamber, outhouse, schoolhouse, small, little, crown, mouth, soil, dirt, ground
常	usual	Ordinary		usual, outhouse, schoolhouse, small, little, crown, mouth, towel
裳	skirt			skirt, outhouse, schoolhouse, small, little, crown, mouth, cloth, clothes, clothing, garment
掌	manipulate	Manipulate		manipulate, outhouse, schoolhouse, small, little, crown, mouth, hand
皮	pelt	Skin		pelt, branch, ten, needle, crotch, hook
波	waves	Wave		waves, water, water droplets, water pistol, pelt, branch, ten, needle, crotch, hook
婆	old woman	Old Woman		old woman, waves, wave, water, water droplets, water pistol, pelt, branch, ten, needle, crotch, hook, woman
披	expose	Expose		expose, finger, fingers, pelt, branch, ten, needle, crotch, hook
破	rend	Tear		rend, stone, rock, pelt, branch, ten, needle, crotch, hook
被	incur	Incur		incur, cloak, pelt, branch, ten, needle, crotch, hook
残	remainder	Remainder		remainder, bones, one, ceiling, evening, float
殉	martyrdom	Martyr		martyrdom, bones, one, ceiling, evening, decameron, bound up, sun, day
殊	particularly	Especially		particularly, bones, one, ceiling, evening, vermilion, drop, not yet, one, tree, wood
殖	augment	Multiply		augment, bones, one, ceiling, evening, straightaway, ten, needle, eye, fishhook
列	file	Row		file, bones, one, ceiling, evening, sword, sabre, saber
裂	split	Split		split, file, bones, one, ceiling, evening, sword, sabre, saber, cloth, clothes, clothing, garment
烈	ardent	Violent		ardent, file, bones, one, ceiling, evening, sword, sabre, saber, oven-fire, drop4, barbecue
死	death	Death		death, bones, one, ceiling, evening, spoon, sitting on the ground
葬	interment	Burial		interment, flowers, death, bones, one, ceiling, evening, spoon, sitting on the ground, two hands
瞬	wink	Blink		wink, eye, Rose of Sharon, birdhouse, birdcage, claw, vulture, crown, sunglasses, dancing legs, ballerina, evening, cow
耳	ear	Ear		ear
取	take	Take		take, ear, crotch
趣	gist	Charm		gist, run, soil, dirt, ground, mending, mend, take, ear, crotch
最	utmost	Most		utmost, sun, day, take, ear, crotch
撮	snapshot	Photograph		snapshot, finger, fingers, utmost, sun, day, take, ear, crotch
恥	shame	Shame		shame, ear, heart
職	post	Employment		post, ear, kazoo, sound, vase, stand up, sun, day, fiesta
聖	holy	Holy		holy, ear, mouth, king, jewel, ball
敢	daring	Daring		daring, street, nail, spike, ear, taskmaster
聴	listen	Listen		listen, ear, stethoscope, camel, ten, needle, eye, cross-eyed, net, heart
懐	pocket	Nostalgia		pocket, Freud, state of mind, poltergeist, BernaE, ten, needle, eye, cross-eyed, net, top hat, scarf, cloth, clothes, clothing, garment
慢	ridicule	Ridicule		ridicule, Freud, state of mind, mandala, sun, day, eye, cross-eyed, net, crotch
漫	loose	Manga		loose, water, water droplets, water pistol, mandala, sun, day, eye, cross-eyed, net, crotch
買	buy	Buy		buy, eye, cross-eyed, net, shellfish, shell, clam, oyster, eye, animal legs, eight
置	placement	Put		placement, eye, cross-eyed, net, straightaway, ten, needle, eye, fishhook
罰	penalty	Penalty		penalty, eye, cross-eyed, net, say, words, keitai, mouth, sword, sabre, saber
寧	rather	Rather		rather, house, heart, eye, cross-eyed, net, street, nail, spike
濁	voiced	Muddy		voiced, water, water droplets, water pistol, spider, eye, cross-eyed, net, bound up, insect
環	ring	Loop		ring, king, jewel, ball, trampoline, eye, cross-eyed, net, one, ceiling, mouth, scarf
還	send back	Send Back		send back, trampoline, eye, cross-eyed, net, one, ceiling, mouth, scarf, road
夫	husband	Husband		husband, husband, one, large
扶	aid	Aid		aid, finger, fingers, husband
渓	mountain stream	Valley		mountain stream, water, water droplets, water pistol, claw, vulture, husband
規	standard	Standard		standard, protocol, husband, see, telescope, eye, human legs
替	exchange	Replace		exchange, husband, sun, day, tongue wagging, wagging tongue, husband2
賛	approve	Agree		approve, approval, husband, shellfish, shell, clam, oyster, eye, animal legs, eight, husband2
潜	submerge	Conceal		submerge, water, water droplets, water pistol, exchange, husband, sun, day, tongue wagging, wagging tongue, husband2
失	lose	Fault		lose, drop, husband
鉄	iron	Iron		iron, metal, gold, lose, drop, husband
迭	alternate	Alternate		transfer, alternate, lose, drop, husband, road
臣	retainer	Servant		retainer, slave
姫	princess	Princess		princess, woman, retainer, slave
蔵	storehouse	Storehouse		storehouse, flowers, parade, retainer, slave
臓	entrails	Internal Organs		entrails, moon, month, flesh, part of the body, storehouse, flowers, parade, retainer, slave
賢	intelligent	Clever		intelligent, loincloth, retainer, slave, crotch, shellfish, shell, clam, oyster, eye, animal legs, eight
腎	kidney			kidney, loincloth, retainer, slave, crotch, moon, month, flesh, part of the body
堅	strict	Solid		strict, loincloth, retainer, slave, crotch, soil, dirt, ground
臨	look to	Look To		look to, retainer, slave, reclining, lying down, goods, mouth, mouth3
覧	perusal	Look At		perusal, retainer, slave, reclining, lying down, one, floor, look, see, telescope, eye, human legs
巨	gigantic	Giant		gigantic, Fafner
拒	repel	Refuse		repel, finger, fingers, gigantic, Fafner
力	power	Power		power, muscle, arnold
男	man	Man		man, male, rice field, brains, power, muscle, arnold
労	labor	Labor		labor, schoolhouse, owl, one, animal legs, crown, power, muscle, arnold
募	recruit	Recruit		recruit, graveyard, flowers, sun, day, large, St. Bernard, power, muscle, arnold
劣	inferiority	Inferiority		inferiority, few, power, muscle, arnold
功	achievement	Achievement		achievement, craft, powered, power, muscle, arnold
勧	persuade	Recommend		persuade, pegasus, horse, pantomime horse, noon, sign of the horse, turkey, power, muscle, arnold
努	toil	Toil		toil, guy, woman, crotch, power, muscle, arnold
勃	uprising			erection, bishop, cross, ten, needle, crown, child, power, muscle, muscles, arnold
励	encourage	Encourage		encourage, Wimbledon, cliff, ten thousand, power, muscle, arnold
加	add	Add		add, power, muscle, arnold, mouth
賀	congratulations	Congratulations		congratulations, add, power, muscle, arnold, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
架	erect	Shelf		erect, add, power, muscle, arnold, mouth, tree, wood
脇	armpit	Armpit		armpit, moon, month, flesh, part of the body, triceps, power, muscle, arnold, power3, muscle3, arnold3
脅	threaten	Threaten		threaten, triceps, power, muscle, arnold, moon, month, flesh, part of the body, power3, muscle3, arnold3
協	co-	Cooperation		co-, ten, needle, triceps, power, muscle, arnold, power3, muscle3, arnold3
行	going	Go		going, boulevard, going
律	rhythm	Law		rhythm, Nelson, column, going, line, brush
復	restore	Restore		restore, Nelson, column, going, line, fold back, double back, reclining, lying down, sun, day, walking legs
得	gain	Acquire		gain, Nelson, column, going, line, bill posters, nightbreak, sun, day, one, floor, glue
従	accompany	Obey		accompany, Nelson, column, going, line, one, horns, mending, mend
徒	junior	Junior		junior, Nelson, column, going, line, run, soil, dirt, ground, mend
待	wait	Wait		wait, Nelson, column, going, line, Buddhist temple, soil, dirt, ground, glue
往	journey	Depart		journey, Nelson, column, going, line, candlestick, lord, drop, king, jewel, ball
征	subjugate	Subjugate		subjugate, Nelson, column, going, line, correct, one, ceiling, stop, footprint
径	diameter	Diameter		diameter, Nelson, column, going, line, spool, clod, toilet paper, crotch, soil, dirt, ground
彼	he	He		he, Nelson, column, going, line, pelt, branch, ten, needle, crotch, hook
役	duty	Service		duty, Nelson, column, going, line, cruise missile, missile, wind, crotch
徳	benevolence	Virtue		benevolence, Nelson, column, going, line, stethoscope, camel, ten, needle, eye, cross-eyed, net, heart
徹	penetrate	Penetrate		penetrate, Nelson, column, going, line, borstal, bring up, infant, toddler, top hat, elbow, moon, month, flesh, part of the body, taskmaster
徴	indications	Indication		indications, sherpa, Nelson, column, going, line, mountain, king, jewel, ball, taskmaster
懲	penal	Chastise		penal, indications, sherpa, Nelson, column, going, line, mountain, king, jewel, ball, taskmaster, heart
微	delicate	Delicate		delicate, sherpa, Nelson, column, going, line, mountain, one, ceiling, human legs, taskmaster
街	boulevard	Street		boulevard, going, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
桁	girder			girder, tree, wood, going
衡	equilibrium	Equilibrium		equilibrium, boulevard, going, bound up, rice field, brains, large, St. Bernard
稿	draft	Draft		draft, wheat, cereal, tall, top hat, mouth, hood, mouth, mouth2
稼	earnings	Earnings		earnings, wheat, cereal, house, sow, pig
程	extent	Extent		extent, wheat, cereal, display, mouth, king, jewel, ball
税	tax	Tax		tax, wheat, cereal, devil, horns, elder brother, teenager, mouth, human legs
稚	immature	Immature		immature, wheat, cereal, turkey
和	harmony	Peace		harmony, wheat, cereal, mouth
移	shift	Shift		shift, wheat, cereal, many, evening, evening2
秒	second	Second		second, wheat, cereal, few
秋	autumn	Autumn		autumn, wheat, cereal, fire, person, drops, drop
愁	distress			distress, autumn, wheat, cereal, fire, heart
私	private	I		private, wheat, cereal, elbow
秩	regularity	Order		regularity, wheat, cereal, lose, drop, husband
秘	secret	Secret		secret, wheat, cereal, invariably, heart, drop
称	appellation	Title		appellation, wheat, cereal, hammock, reclining, lying down, small, little
利	profit	Profit		profit, wheat, cereal, sword, sabre, saber
梨	pear tree	Pear		pear tree, profit, wheat, cereal, sword, sabre, saber, tree, wood
穫	harvest	Harvest		harvest, wheat, cereal, radio caroline, flowers, vessels, turkey, crotch
穂	ear of a plant	Head of Plant		ear (of a plant), wheat, cereal, favour, favor, ten, needle, rice field, brains, heart
稲	rice plant	Rice Plant		rice plant, wheat, cereal, claw, vulture, old days, olden times, stick, sun, day
香	incense	Fragrance		incense, wheat, cereal, sun, day
季	seasons	Seasons		seasons, wheat, cereal, child
委	committee	Committee		committee, wheat, cereal, woman
秀	excel	Excel		excel, wheat, cereal, fist, from
透	transparent	Transparent		transparent, excel, wheat, cereal, fist, from, road
誘	entice	Invite		entice, say, words, keitai, mouth, excel, wheat, cereal, fist, from
稽	training			training, wheat, cereal, understandably, chihuahua with one human leg, delicious, spoon, sitting on the ground, sun, day
穀	cereals	Grain		cereals, samurai, crown, wheat, cereal, cruise missile, missile, wind, crotch
菌	germ	Bacteria		germ, flowers, pent in, wheat, cereal
萎	numb			numb, flowers, committee, wheat, cereal, woman
米	rice	Rice		rice
粉	flour	Powder		flour, rice, part, eight, sword, dagger
粘	sticky	Sticky		sticky, rice, fortune-telling, magic wand, augury, mouth
粒	grains	Grains		grains, rice, vase, stand up
粧	cosmetics	Cosmetics		cosmetics, rice, shire, cave, soil, dirt, ground
迷	astray	Astray		astray, rice, road
粋	chic	Stylish		chic, rice, ninety, nine, baseball, ten, needle
謎	riddle	Riddle		riddle, say, words, keitai, mouth, astray, rice, road
糧	provisions	Provisions		provisions, rice, quantity, nightbreak, sun, day, rice field, one, floor, computer
菊	chrysanthemum	Chrysanthemum		chrysanthemum, flowers, rice cooker, bound up, rice
奥	core	Interior		core, drop, pent in, rice, large, St. Bernard
数	number	Count		number, rice, woman, taskmaster
楼	watchtower			watchtower, tree, wood, rice, woman
類	sort	Type		sort, rice, large, St. Bernard, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
漆	lacquer	Lacquer		lacquer, water, water droplets, water pistol, tree, wood, umbrella, grains of rice
膝	knee	Knee		knee, moon, month, flesh, part of the body, tree, wood, umbrella, grains of rice
様	Esq.	Formal Name Title		Esq., tree, wood, horns, sheep, king, grains of rice
求	request	Request		request, arrow, grains of rice
球	ball	Sphere		ball, king, jewel, ball, request, arrow, grains of rice
救	salvation	Rescue		salvation, request, arrow, grains of rice, taskmaster
竹	bamboo	Bamboo		bamboo
笑	laugh	Laugh		laugh, bamboo, heavens
笠	bamboo hat	Conical Hat		bamboo hat, bamboo, vase, stand up
笹	bamboo grass			bamboo grass, bamboo, generation
箋・䇳	stationery			stationery, bamboo, float, fiesta, float*, fiesta2
筋	muscle	Muscle		muscle, bamboo, moon, month, flesh, part of the body, power, muscle, arnold
箱	box	Box		box , bamboo, inter, Inter Milan, tree, wood, eye
筆	writing brush	Writing Brush		writing brush, bamboo, brush, broom
筒	cylinder	Cylinder		cylinder, bamboo, same, monks, hood, one, mouth
等	etc.	Equal		etc., bamboo, Buddhist temple, soil, dirt, ground, glue
算	calculate	Calculate		calculate, bamboo, eye, two hands
答	solution	Answer		solution, bamboo, fit, meeting, umbrella, one, mouth
策	scheme	Plan		scheme, bamboo, tree, wood, belt
簿	register	Record Book		register, bamboo, water, water droplets, water pistol, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue
築	fabricate	Construct		fabricate, bamboo, barge, craft, mediocre, wind, drop, tree, wood
篭・籠	basket			cage, bamboo, dragon, vase, stand up, eel, sun, day, fishhook
人	person	Person		person
佐	assistant	Help		assistant, person, left, by one's side, by one’s side, craft
侶	partner			partner, person, spine, mouth, drop, mouth, mouth2
但	however			however, person, nightbreak, sun, day, one, floor
住	dwell	Dwelling		dwell, person, candlestick, lord, drop, king, jewel, ball
位	rank	Rank		rank, person, vase, stand up
仲	go-between	Relationship		go-between, person, inX, stick, mouth
体	body	Body		body, person, origin, book, tree, wood, one
悠	remote	Leisure		permanence, remote, person, stick, fred astaire, taskmaster, heart
件	affair	Matter		affair, person, cow
仕	attend	Doing		attend, person, samurai
他	other	Other		other, person, scorpion
伏	prostrated	Bow		prostrated, person, chihuahua, dog, large, drop
伝	transmit	Transmit		transmit, person, rising cloud, two, elbow, wall
仏	Buddha	Buddha		buddha, person, elbow
休	rest	Rest		rest, person, tree, wood
仮	provisional	Temporary		sham, provisional, person, anti-, demonstration, cliff, crotch
伎	performing artist	Deed		performing artist, person, branch, ten, needle, crotch
伯	chief	Chief		chief, person, white, dove
俗	vulgar	Vulgar		vulgar, person, valley, eight, umbrella, mouth
信	faith	Believe		faith, person, say, words, keitai, mouth
佳	excellent	Excellent		excellent, person, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
依	reliant	Reliant		reliant, person, cloth, clothes, clothing, garment
例	example	Example		example, person, file, bones, one, ceiling, evening, sword, sabre, saber
個	individual	Individual		individual, person, harden, pent in, old, tombstone, gravestone, church, ten, needle, mouth
健	healthy	Healthy		healthy, person, build, brush, broom, stretch
側	side	Side		side, person, rule, shellfish, shell, clam, oyster, eye, animal legs, eight, sword, sabre, saber
侍	waiter	Samurai		waiter, person, Buddhist temple, soil, dirt, ground, glue
停	halt	Halt		halt, person, pavilion, tall, top hat, mouth, crown, street, nail, spike
値	price	Value		price, person, straightaway, ten, needle, eye, fishhook
倣	emulate			emulate, person, set free, compass, direction, taskmaster
傲	arrogance	Proud		person, soil, dirt, ground, direction, compass, taskmaster
倒	overthrow	Overthrow		overthrow, person, arrival, climax, wall, one, ceiling, elbow, soil, dirt, ground, sword, sabre, saber
偵	spy	Spy		spy, person, upright, magic wand, augury, shellfish, shell, clam, oyster, eye, animal legs, eight
僧	Buddhist priest	Priest		buddhist priest, person, increase, formerly, horns, rice field, brains, sun, day
億	hundred million	Hundred Million		hundred million, person, idea, sound, vase, stand up, sun, day, heart
儀	ceremony	Ceremony		ceremony, person, righteousness, horns, sheep, king, ego, hand, finger, fingers, fiesta
償	reparation	Reparation		reparation, person, prize, outhouse, schoolhouse, small, little, crown, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
仙	hermit	Hermit		hermit, person, mountain
催	sponsor	Sponsor		sponsor, person, mountain, turkey
仁	humanity	Humanity		humanity, person, two
侮	scorn	Despise		scorn, person, every, reclining, lying down, mother, breasts
使	use	Use		use, person, history, length, stick, mouth, tucked under the arm
便	convenience	Convenience		convenience, person, grow late, Amaterasu, one, ceiling, sun, day, tucked under the arm
倍	double	Double		double, person, muzzle, vase, stand up, mouth
優	tenderness	Superior		tenderness, person, melancholy, summer, head, page, crown, heart, walking legs
伐	fell	Fell		fell, to fell, person, fiesta
宿	inn	Lodge		inn, house, person, hundred, one, ceiling, white, dove
傷	wound	Wound		wound, person, reclining, lying down, piggy bank, sun, day, piglets
保	protect	Preserve		protect, person, dumbfounded, mouth, tree, wood
褒	praise	Praise		praise, top hat, protect, person, dumbfounded, mouth, tree, wood, scarf
傑	greatness	Greatness		greatness, person, sunglasses, dancing legs, ballerina, evening, cow, tree, wood
付	adhere	Attach		adhere, adhere to, person, glue
符	token	Token		token, bamboo, adhere, sellotape, person, glue
府	municipality	Government		borough, municipality, cave, adhere, sellotape, person, glue
任	responsibility	Duty		responsibility, person, porter, drop, samurai
賃	fare	Rent		fare, responsibility, person, porter, drop, samurai, shellfish, shell, clam, oyster, eye, animal legs, eight
代	substitute	Substitute		substitute, person, arrow
袋	sack	Sack		sack, substitute, person, arrow, garment
貸	lend	Lend		lend, substitute, person, arrow, shellfish, shell, clam, oyster, eye, animal legs, eight
化	change	Change		change, person, spoon, sitting on the ground
花	flower	Flower		flowers, change, person, spoon, sitting on the ground
貨	freight	Freight		freight, change, person, spoon, sitting on the ground, shellfish, shell, clam, oyster, eye, animal legs, eight
傾	lean	Lean		lean, change, person, about that time, spoon, sitting on the ground, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
何	what	What		what, person, can, mouth, street, nail, spike
荷	baggage	Luggage		baggage, flowers, what, person, can, mouth, street, nail, spike
俊	sagacious	Genius		sagacious, person, streetwalker, Ministry of silly walks, John Cleese, license, elbow, human legs, walking legs
傍	bystander	Nearby		bystander, person, traffic cop, fez, vase, stand up, crown, compass, direction
俺	myself	I		myself, person, dachshund, large, St. Bernard, eel, inX, rice field, fishhook
久	long time	Long Time		long time, bound up, person, mummy
畝	furrow			furrow, top hat, rice field, brains, long time, mummy, bound up, person
囚	captured	Criminal		captured, pent in, person
内	inside	Inside		inside, person, belt
丙	third class			third class, one, ceiling, inside, person, belt
柄	design	Pattern		design, tree, wood, third class, one, ceiling, inside, person, belt
肉	meat	Meat		meat, person, inside, belt, person, person2
腐	rot	Rot		rot, borough, municipality, cave, adhere, sellotape, person, glue, meat, inside, belt, person, person2
座	sit	Sit		squat, sit, cave, shire, assembly line, person2, person, soil, dirt, ground
挫	sprain			sprain, finger, fingers, sitting in meditation, assembly line, person2, person, soil, dirt, ground
卒	graduate	Graduate		graduate, top hat, assembly line, person2, person, ten, needle
傘	umbrella	Umbrella		umbrella, umbrella, assembly line, person, ten, needle, person4, assembly line2
匁	monme			monme, bound up, tucked under the arm
以	by means of	From		by means of, plow, drop, person, straightened hook
似	similar	Resemble		becoming, similar, person, by means of, plow, drop, person, fishhook, straightened hook
併	join	Join		join, person, puzzle, horns, two hands
瓦	tile			tile, ten thousand, one, ceiling, cane, stick, drop, fishhook, ice
瓶	flower pot	Bottle		flower pot, puzzle, horns, two hands, tile, one, ceiling, cane, stick, drop, fishhook, ice
宮	Shinto shrine	Shinto Shrine		shinto shrine, house, spine, mouth, drop, mouth2
営	occupation	Manage		occupation, schoolhouse, owl, one, animal legs, crown, spine, mouth, drop, mouth2
善	virtuous	Morally Good		virtuous, horns, sheep, king, row, mouth
膳	dining tray			dining tray, moon, month, flesh, part of the body, virtuous, horns, sheep, mouth
年	year	Year		year, sign of the horse, sunglasses
夜	night	Night		night, top hat, person, walking legs, drop
液	fluid	Fluid		fluid, water, water droplets, water pistol, night, top hat, person, walking legs, drop
塚	hillock	Mound		hillock, soil, dirt, ground, crown, pig, sow
幣	cash	Cash		cash, shredder, small, little, belt, taskmaster, towel
蔽	cover over			cover over, flowers, shredder, small, little, belt, taskmaster
弊	abuse	Evil		abuse, shredder, small, little, belt, taskmaster, two hands
喚	yell	Scream		yell, mouth, bound up, four, large, St. Bernard
換	interchange	Exchange		interchange, finger, fingers, bound up, four, large, St. Bernard
融	dissolve	Dissolve		dissolve, tripod, one, ceiling, mouth, hood, human legs, street, nail, spike, insect
施	alms	Carry Out		alms, banner, direction, compass, direction, reclining, lying down, scorpion
旋	rotation	Rotation		rotation, banner, direction, compass, direction, reclining, lying down, zoo, critters
遊	play	Play		play, banner, direction, compass, direction, reclining, lying down, child, road
